id,bumelerze_id,time,year,lat,lon,depth_km,mag,mag_type,source_catalog,source_id,contributing_sources,merged_count
bumelerze-000135,bml19300003,1930-04-20T10:20:43.400Z,1930,39.37,39.35,60.0,5.2,Mw,EMME,1519,EMME,1
bumelerze-000136,bml19300004,1930-05-06T07:03:20.000Z,1930,37.21,44.57,10.0,5.6,Mw,EMME,1520,EMME,1
bumelerze-000137,bml19300005,1930-05-06T07:03:26.820Z,1930,38.252,44.797,15.0,5.47,Mw,ISCGEM,907353,ISCGEM,1
bumelerze-000138,bml19300006,1930-05-06T22:34:00.000Z,1930,38.15,44.65,0.0,7.1,Mw,EMME,1521,EMME,1
bumelerze-000139,bml19300007,1930-05-06T22:34:26.770Z,1930,38.094,44.797,15.0,7.1,Mw,ISCGEM,907354,"ISCGEM,ONUR2017",2
bumelerze-000140,bml19300008,1930-05-07T07:03:22.000Z,1930,37.0,44.0,0.0,4.76,Mw,EMME,1522,EMME,1
bumelerze-000141,bml19300009,1930-05-07T09:29:00.000Z,1930,38.0,44.5,0.0,4.7,Mw,EMME,1523,EMME,1
bumelerze-000142,bml1930000a,1930-05-07T13:48:00.000Z,1930,38.0,44.5,0.0,5.2,Mw,EMME,1524,EMME,1
bumelerze-000143,bml1930000b,1930-05-08T00:35:00.000Z,1930,38.4,44.5,0.0,6.2,Mw,ONUR2017,,ONUR2017,1
bumelerze-000144,bml1930000c,1930-05-08T05:29:00.000Z,1930,38.0,44.5,0.0,4.9,Mw,EMME,1525,EMME,1
bumelerze-000145,bml1930000d,1930-05-08T14:23:00.000Z,1930,38.0,44.5,0.0,5.3,Mw,EMME,1526,EMME,1
bumelerze-000146,bml1930000e,1930-05-08T15:35:27.690Z,1930,38.444,45.059,15.0,6.21,Mw,ISCGEM,907371,"EMME,ISCGEM",2
bumelerze-000147,bml1930000f,1930-05-08T23:36:22.000Z,1930,37.3,44.8,0.0,4.8,Mw,EMME,1528,EMME,1
bumelerze-000148,bml1930000g,1930-05-09T01:43:00.000Z,1930,38.0,44.5,0.0,4.8,Mw,EMME,1529,EMME,1
bumelerze-000149,bml1930000h,1930-05-09T21:08:00.000Z,1930,38.0,44.5,0.0,4.7,Mw,EMME,1531,EMME,1
bumelerze-000150,bml1930000i,1930-05-10T11:03:00.000Z,1930,35.0,46.0,0.0,4.8,Mw,EMME,1532,EMME,1
bumelerze-000151,bml1930000j,1930-05-10T21:43:24.600Z,1930,37.55,44.25,10.0,5.2,Mw,EMME,1533,EMME,1
bumelerze-000152,bml1930000k,1930-05-21T13:51:00.000Z,1930,38.0,44.5,0.0,4.9,Mw,EMME,1535,EMME,1
bumelerze-000153,bml1930000l,1930-05-23T09:48:00.000Z,1930,38.0,44.5,0.0,5.4,Mw,EMME,1536,EMME,1
bumelerze-000154,bml1930000m,1930-05-23T09:48:22.440Z,1930,38.033,45.095,15.0,5.45,Mw,ISCGEM,907418,ISCGEM,1
bumelerze-000155,bml1930000n,1930-05-29T17:14:59.230Z,1930,38.335,44.664,15.0,5.71,Mw,ISCGEM,907426,"EMME,ISCGEM",2
bumelerze-000156,bml1930000o,1930-06-04T07:28:08.900Z,1930,38.336,45.158,15.0,5.61,Mw,ISCGEM,907434,"EMME,ISCGEM",2
bumelerze-000157,bml1930000p,1930-07-09T04:36:00.000Z,1930,38.0,44.5,0.0,5.2,Mw,EMME,1542,EMME,1
bumelerze-000158,bml1930000q,1930-08-03T22:06:31.000Z,1930,38.46,44.7,80.0,5.3,Mw,EMME,1544,EMME,1
bumelerze-000159,bml1930000r,1930-08-21T06:55:00.000Z,1930,38.0,44.5,0.0,4.9,Mw,EMME,1547,EMME,1
bumelerze-000160,bml1930000s,1930-10-25T23:34:23.000Z,1930,38.49,45.19,10.0,4.9,Mw,EMME,1558,EMME,1
bumelerze-000161,bml19310001,1931-01-09T07:01:35.000Z,1931,38.0,38.5,0.0,5.2,Mw,EMME,1565,EMME,1
bumelerze-000162,bml19310002,1931-02-06T05:20:12.000Z,1931,39.5,46.3,27.0,5.1,Mw,EMME,1569,EMME,1
bumelerze-000163,bml19310003,1931-02-12T05:33:07.000Z,1931,39.5,46.0,12.0,5.0,Mw,EMME,1570,EMME,1
bumelerze-000164,bml19310004,1931-04-27T00:00:00.000Z,1931,39.2,46.0,22.0,6.5,Mw,EMME,1574,EMME,1
bumelerze-000165,bml19310005,1931-04-27T16:50:00.000Z,1931,39.34,45.97,0.0,6.4,Mw,EMME,1575,EMME,1
bumelerze-000166,bml19310006,1931-04-27T16:50:45.730Z,1931,39.389,45.923,15.0,6.41,Mw,ISCGEM,906750,"ISCGEM,ONUR2017",2
bumelerze-000167,bml19310007,1931-04-27T18:05:00.000Z,1931,39.5,46.0,20.0,5.1,Mw,EMME,1576,EMME,1
bumelerze-000168,bml19310008,1931-05-06T20:22:25.000Z,1931,37.5,39.5,0.0,5.3,Mw,EMME,1577,EMME,1
bumelerze-000169,bml19310009,1931-05-08T09:05:43.000Z,1931,39.1,46.2,17.0,4.9,Mw,EMME,1578,EMME,1
bumelerze-000170,bml1931000a,1931-05-12T10:25:13.470Z,1931,38.508,45.82,15.0,5.51,Mw,ISCGEM,906772,"EMME,ISCGEM",2
bumelerze-000171,bml1931000b,1931-07-04T21:01:07.000Z,1931,38.6,46.0,18.0,5.3,Mw,EMME,1583,EMME,1
bumelerze-000172,bml1931000c,1931-07-05T17:57:09.000Z,1931,39.3,47.8,60.0,5.5,Mw,EMME,1584,EMME,1
bumelerze-000173,bml1931000d,1931-07-29T13:10:00.000Z,1931,39.0,46.0,10.0,4.9,Mw,EMME,1586,EMME,1
bumelerze-000174,bml1931000e,1931-08-29T12:02:00.000Z,1931,32.0,49.0,0.0,5.09,Mw,EMME,1593,EMME,1
bumelerze-000175,bml1931000f,1931-08-29T12:30:48.520Z,1931,32.31,49.665,15.0,5.47,Mw,ISCGEM,906977,ISCGEM,1
bumelerze-000176,bml1931000g,1931-10-13T07:36:42.000Z,1931,35.6,43.2,0.0,4.9,Mw,EMME,1596,EMME,1
